Beach_Code,Original_Beach_Name,API_Beach_Name,rating,user_ratings_total,Search_lat,Search_lng,lat,lon
40,Aciddara,Spiaggia Aciddara,3.5,357,3808036623.0,1353734493.0,38.08036623,13.53734493
149,Bagni della Regina Giovanna - Sorrento (Na),Capo di Sorrento,4.7,153,4063355879.0,1435122371.0,40.63355879,14.35122371
59,baia delle favole,Baia delle Favole,4.5,419,4427072752.0,9391254298.0,44.27072752,93.91254298
123,Boschetto Steccato di Cutro,Spiaggia Libera Steccato di Cutro,4.4,279,3893462782.0,1693195671.0,38.93462782,16.93195671
105,Cala Santa Maria,Torre Cala Santa Maria,4.0,9,3870891163.0,1319533405.0,38.70891163,13.19533405
142,Caletta Caretta,Punta Penna Grossa Beach,4.4,1788,4072236478.0,1777187437.0,40.72236478,17.77187437
102,Caletta di Sant'Elia,Sant'Elia,4.6,1065,3809654187.0,1353882176.0,38.09654187,13.53882176
46,Capo Arena- budda beach,Buddha Beach,4.3,487,3987517777.0,157836628.0,39.87517777,1.57836628
144,Castello di Santa Severa,Spiaggia di Santa Severa,4.1,462,4201692123.0,1195644021.0,42.01692123,11.95644021
100,Caulonia,Spiaggia Rocco dei Matti,4.2,5,3833758366.0,1646034821.0,38.33758366,16.46034821
97,Cipollazzo,Spiaggia di Cipollazzo,4.6,66,3757328088.0,1293836474.0,37.57328088,12.93836474
94,Club Adriatico - Polignano a Mare,Spiaggia libera,5.0,9,4102005106.0,1718505156.0,41.02005106,17.18505156
53,da Borgo Bonsignore a Foce Fiume Platani,Riserva Naturale Orientata Foce del Fiume Platani,4.7,1327,3740505906.0,1326610923.0,37.40505906,13.26610923
61,"da Marinella di Selinunte alla Foce del Fiume Belice, sponda destra e sinistra verso Menfi",Spiaggia La PINETA,4.4,421,3758125831.0,1285864681.0,37.58125831,12.85864681
36,Favignana,Spiaggia Praia,3.9,1677,3792938738.0,1232539415.0,37.92938738,12.32539415
154,Foce del Savuto,Fiume Savuto,4.3,11,3903850398.0,1609786749.0,39.03850398,16.09786749
27,Fungitedda,Spiaggia Funcitedda,4.7,45,3736028621.0,1334593821.0,37.36028621,13.34593821
134,Gizzeria Lido,Lido Gizzeria - Spiaggia libera,4.4,122,3892817526.0,1621443059.0,38.92817526,16.21443059
58,Grotta dei delfini,Spiaggia di Levante - Sperlonga,4.5,35,4125577231.0,1343715859.0,41.25577231,13.43715859
63,isola di Sant'Andrea,Isola Sant'Andrea,4.3,101,4066103311.0,1796886921.0,40.66103311,17.96886921
140,LAGUNA DEL MORT,Laguna del Mort,4.4,233,4552930096.0,1273069189.0,45.52930096,12.73069189
167,l'amanusa spiaggia libera,Spiaggia Libera,4.0,192,417030752.0,1233833179.0,4.17030752,12.33833179
